Value,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
21,0.7708468955467617,0.17238741314129058,0.05676569131194776,0.0
22,0.7252222480982808,0.19147016533084685,0.08330758657087231,0.0
23,0.6795976006498001,0.21055291752040306,0.10984948182979687,0.0
24,0.6339729532013192,0.22963566970995933,0.13639137708872143,0.0
25,0.5883483057528385,0.2487184218995156,0.16293327234764599,0.0
26,0.5427236583043576,0.2678011740890718,0.1836849590257107,0.005790208580859838
27,0.4970990108558768,0.2868839262786281,0.19217781609263374,0.023839246772861367
28,0.451474363407396,0.30596667846818437,0.20067067315955678,0.041888284964862896
29,0.40584971595891517,0.3250494306577406,0.2091635302264798,0.059937323156864425
30,0.36022506851043445,0.3441321828472968,0.2176563872934028,0.07798636134886595
31,0.31460042106195363,0.36321493503685304,0.22614924436032585,0.09603539954086748
32,0.2689757736134729,0.3822976872264092,0.23464210142724884,0.11408443773286901
33,0.2233511261649921,0.40138043941596546,0.2431349584941719,0.13213347592487054
34,0.17772647871651126,0.42046319160552176,0.2516278155610949,0.15018251411687208
35,0.13210183126803043,0.439545943795078,0.26012067262801797,0.1682315523088736
36,0.08647718381954961,0.4586286959846343,0.26861352969494096,0.18628059050087514
37,0.04085253637106889,0.4777114481741904,0.27710638676186405,0.20432962869287666
38,0.0,0.49202208928633473,0.2855992438287871,0.2223786668848782
39,0.0,0.46548019402741025,0.29409210089571003,0.24042770507687972
40,0.0,0.43893829876848567,0.30258495796263307,0.25847674326888126
41,0.0,0.4123964035095611,0.3110778150295561,0.2765257814608828
42,0.0,0.3858545082506365,0.3195706720964792,0.2945748196528843
43,0.0,0.359312612991712,0.32806352916340215,0.31262385784488583
44,0.0,0.33277071773278744,0.3365563862303252,0.3306728960368874
45,0.0,0.30622882247386285,0.34504924329724823,0.3487219342288889
46,0.0,0.27968692721493826,0.35354210036417133,0.3667709724208904
47,0.0,0.2531450319560138,0.36203495743109426,0.38482001061289195
48,0.0,0.2266031366970892,0.3705278144980173,0.4028690488048935
49,0.0,0.20006124143816462,0.37902067156494035,0.42091808699689504
50,0.0,0.17351934617924003,0.38751352863186345,0.4389671251888965
51,0.0,0.14697745092031556,0.3960063856987864,0.45701616338089807
52,0.0,0.12043555566139097,0.4044992427657094,0.4750652015728996
53,0.0,0.09389366040246638,0.41299209983263246,0.49311423976490115
54,0.0,0.0673517651435418,0.42148495689955556,0.5111632779569026
55,0.0,0.04080986988461732,0.4299778139664785,0.5292123161489042
56,0.0,0.014267974625692736,0.43847067103340154,0.5472613543409057
57,0.0,0.0,0.43468960746709273,0.5653103925329073
58,0.0,0.0,0.4166405692750912,0.5833594307249088
59,0.0,0.0,0.39859153108308965,0.6014084689169104
60,0.0,0.0,0.3805424928910882,0.6194575071089118
61,0.0,0.0,0.36249345469908667,0.6375065453009133
62,0.0,0.0,0.3444444165070851,0.6555555834929149
63,0.0,0.0,0.3263953783150836,0.6736046216849164
64,0.0,0.0,0.30834634012308204,0.691653659876918
65,0.0,0.0,0.2902973019310805,0.7097026980689195
66,0.0,0.0,0.27224826373907896,0.727751736260921
67,0.0,0.0,0.2541992255470774,0.7458007744529226
68,0.0,0.0,0.23615018735507598,0.763849812644924
69,0.0,0.0,0.21810114916307444,0.7818988508369256
70,0.0,0.0,0.2000521109710729,0.7999478890289271
71,0.0,0.0,0.18200307277907135,0.8179969272209286
72,0.0,0.0,0.1639540345870698,0.8360459654129302
73,0.0,0.0,0.14590499639506826,0.8540950036049317
74,0.0,0.0,0.12785595820306672,0.8721440417969333
75,0.0,0.0,0.10980692001106518,0.8901930799889348
76,0.0,0.0,0.09175788181906375,0.9082421181809363
77,0.0,0.0,0.0737088436270622,0.9262911563729378
78,0.0,0.0,0.05565980543506066,0.9443401945649393
79,0.0,0.0,0.03761076724305912,0.9623892327569409
80,0.0,0.0,0.019561729051057575,0.9804382709489424
81,0.0,0.0,0.0015126908590560317,0.998487309140944
82,0.0,0.0,0.0,1.0
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
86,0.0,0.0,0.0,1.0
87,0.0,0.0,0.0,1.0
88,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,1.0
90,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
92,0.0,0.0,0.0,1.0
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,1.0
98,0.0,0.0,0.0,1.0
99,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,1.0
