Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern
70,0.9899636032755402,0.01003639672445974,0.0,0.0
71,0.952257329535919,0.047742670464080955,0.0,0.0
72,0.9145510557962978,0.08544894420370217,0.0,0.0
73,0.8768447820566766,0.12315521794332339,0.0,0.0
74,0.8391385083170554,0.1608614916829446,0.0,0.0
75,0.8014322345774342,0.19856776542256582,0.0,0.0
76,0.763725960837813,0.23627403916218703,0.0,0.0
77,0.7260196870981918,0.27398031290180824,0.0,0.0
78,0.6883134133585705,0.31168658664142945,0.0,0.0
79,0.6506071396189493,0.34939286038105066,0.0,0.0
80,0.6129008658793281,0.3603613785847253,0.026737755535946584,0.0
81,0.5751945921397068,0.341091752329718,0.08371365553057515,0.0
82,0.5374883184000856,0.3218221260747106,0.1406895555252037,0.0
83,0.4997820446604645,0.3025524998197032,0.19766545551983228,0.0
84,0.4620757709208433,0.28328287356469584,0.2546413555144609,0.0
85,0.4243694971812221,0.2640132473096885,0.3116172555090894,0.0
86,0.38666322344160076,0.24474362105468128,0.36859315550371796,0.0
87,0.34895694970197955,0.2254739947996739,0.42556905549834656,0.0
88,0.31125067596235834,0.20620436854466656,0.46843902927179154,0.014105926221183543
89,0.2735444022227371,0.18693474228965923,0.4238935829334065,0.11562727255419716
90,0.23583812848311592,0.16766511603465184,0.3793481365950214,0.2171486188872108
91,0.1981318547434947,0.14839548977964445,0.33480269025663645,0.3186699652202244
92,0.1604255810038735,0.12912586352463706,0.2902572439182514,0.420191311553238
93,0.12271930726425229,0.10985623726962979,0.24571179757986628,0.5217126578862517
94,0.08501303352463108,0.0905866110146224,0.2011663512414813,0.6232340042192652
95,0.047306759785009866,0.07131698475961501,0.15662090490309621,0.7247553505522789
96,0.009600486045388656,0.05204735850460773,0.11207545856471113,0.8262766968852925
97,0.0,0.004671944555367791,0.06753001222632604,0.9277980432183062
98,0.0,0.0,0.0,1.0
99,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,1.0
