model_a,model_b,reversal_rate,agree_rate,tie_in_any_rate,n_samples
NEWS-2,Snapshot Fuzzy EWS,0.10736514129755795,0.8926348587024421,0.076311,1000000
NEWS-2,Temporal Builder,0.12395175870692549,0.8760482412930746,0.07631,1000000
Snapshot Fuzzy EWS,Temporal Builder,0.06444006444006443,0.9355599355599356,1e-06,1000000
