alpha,beta,gamma,auroc_obs,auroc_patient
0.4,4.0,0.8,0.659449967635801,0.7517134515889528
0.4,4.0,0.9,0.6590223403724842,0.7568484174234853
0.4,4.0,1.0,0.6563646241563211,0.7632523032058861
0.4,4.5,0.1,0.649874108777644,0.7247570355304316
0.4,4.5,0.2,0.6511994457227516,0.726896990528052
0.4,4.5,0.3,0.6525802553223587,0.7293122346565049
0.4,4.5,0.4,0.6539968896943228,0.7319562342820707
0.4,4.5,0.5,0.6554133322351083,0.7348747317699857
0.4,4.5,0.6,0.6567542557903724,0.7381705095674667
0.4,4.5,0.7,0.6578813459083352,0.7419681317641411
0.4,4.5,0.8,0.6585293435844417,0.7465590934542347
0.4,4.5,0.9,0.6581536097781336,0.7522235400987305
0.4,4.5,1.0,0.6555757254403083,0.7592661778987095
0.4,5.0,0.1,0.6488801866166224,0.7185133208048851
0.4,5.0,0.2,0.6502123517715322,0.7208579876630953
0.4,5.0,0.3,0.6516031684193923,0.7235068973676556
0.4,5.0,0.4,0.6530322666225488,0.7263695342324047
0.4,5.0,0.5,0.6544647522609184,0.7295036493281072
0.4,5.0,0.6,0.6558264802538887,0.7330317385973134
0.4,5.0,0.7,0.6569815612786282,0.737121720794139
0.4,5.0,0.8,0.6576667023941911,0.7420695546862828
0.4,5.0,0.9,0.6573431138174498,0.7481986530573456
0.4,5.0,1.0,0.6548437081239853,0.7557926638231228
0.5,0.5,0.1,0.6610313083629401,0.8044366154350915
0.5,0.5,0.2,0.6623106674891284,0.8054270880494954
0.5,0.5,0.3,0.663644931776088,0.8065465400606758
0.5,0.5,0.4,0.6649966031570389,0.8077839290588928
0.5,0.5,0.5,0.6663258655643258,0.809086617939146
0.5,0.5,0.6,0.6675522042605153,0.8104479151231372
0.5,0.5,0.7,0.6685236508399878,0.811726040400251
0.5,0.5,0.8,0.668946020530333,0.8128225826540934
0.5,0.5,0.9,0.6682181096745706,0.8134686545159243
0.5,0.5,1.0,0.6650198024741025,0.8134273915136323
0.5,1.0,0.1,0.659387001792126,0.7930810274853047
0.5,1.0,0.2,0.6606669745021894,0.7941218374184404
0.5,1.0,0.3,0.6619982359083364,0.7953009850785667
0.5,1.0,0.4,0.6633479476099841,0.7965781965108224
0.5,1.0,0.5,0.6646754108787154,0.7979410641306554
0.5,1.0,0.6,0.6659007769591948,0.7993778506870997
0.5,1.0,0.7,0.6668724381898924,0.8008264333968291
0.5,1.0,0.8,0.6672977297697849,0.8021555547977444
0.5,1.0,0.9,0.6665821431619969,0.8032367002602333
0.5,1.0,1.0,0.663426450656175,0.8040084511566258
0.5,1.5,0.1,0.657816438808222,0.7809947076338845
0.5,1.5,0.2,0.6591007678485725,0.7821007737399472
0.5,1.5,0.3,0.6604341023877632,0.7833707665269439
0.5,1.5,0.4,0.661789203212809,0.7847878256164098
0.5,1.5,0.5,0.6631231561083454,0.7863042224172091
0.5,1.5,0.6,0.6643570651910412,0.7879411150775348
0.5,1.5,0.7,0.6653409327652833,0.7896982727980217
0.5,1.5,0.8,0.6657861134654043,0.791500076720366
0.5,1.5,0.9,0.6651045079464051,0.7933048604587342
0.5,1.5,1.0,0.6620176496711513,0.7951727208697019
0.5,2.0,0.1,0.6563312399217398,0.7692426963498766
0.5,2.0,0.2,0.6576222260666206,0.7704824878984861
0.5,2.0,0.3,0.6589628342444844,0.7719262911984617
0.5,2.0,0.4,0.6603278411687804,0.7735253248608339
0.5,2.0,0.5,0.6616740152669492,0.7752466018690971
0.5,2.0,0.6,0.6629230265690709,0.7771723109614777
0.5,2.0,0.7,0.6639275795067437,0.7793075233871525
0.5,2.0,0.8,0.6644019235786616,0.781640023309041
0.5,2.0,0.9,0.6637658328954341,0.7842258190832807
0.5,2.0,1.0,0.6607602335830127,0.787272166249741
0.5,2.5,0.1,0.6549499362296018,0.758355232920353
0.5,2.5,0.2,0.6562445465164634,0.7597460804778317
0.5,2.5,0.3,0.6575923352005583,0.761373833238967
0.5,2.5,0.4,0.6589679639642098,0.7631617821372052
0.5,2.5,0.5,0.6603282123461902,0.7651326180407743
0.5,2.5,0.6,0.6615954193565889,0.767356781671896
0.5,2.5,0.7,0.6626242300266878,0.7698747366333398
0.5,2.5,0.8,0.6631327485893613,0.7727913303509667
0.5,2.5,0.9,0.6625479050580488,0.7762038256704273
0.5,2.5,1.0,0.6596284251497277,0.7803410755849615
0.5,3.0,0.1,0.6536548823023549,0.7484507782308768
0.5,3.0,0.2,0.6549575699240913,0.7500359581288815
0.5,3.0,0.3,0.6563149761609812,0.7518586743213652
0.5,3.0,0.4,0.6577017938039982,0.7538682902826119
0.5,3.0,0.5,0.6590771787575166,0.7560986443069728
0.5,3.0,0.6,0.6603641497689349,0.7586397387562511
0.5,3.0,0.7,0.6614191223937906,0.7615491165389658
0.5,3.0,0.8,0.6619642197659681,0.7650156485329175
0.5,3.0,0.9,0.6614334648477853,0.7692057650157312
0.5,3.0,1.0,0.658601658434707,0.7743045569243571
0.5,3.5,0.1,0.6524445877416571,0.7396242112055669
0.5,3.5,0.2,0.6537554888870291,0.7413871334131525
0.5,3.5,0.3,0.6551222181307702,0.7434248039420086
0.5,3.5,0.4,0.6565212137185301,0.7456632715604087
0.5,3.5,0.5,0.657912494013623,0.7481615341366828
