Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
87,0.0,0.0,0.0,0.9591141230151328,0.04088587698486721,0.0,0.0
88,0.0,0.0,0.0,0.9256853590077179,0.07431464099228217,0.0,0.0
89,0.0,0.0,0.0,0.8922565950003029,0.10774340499969715,0.0,0.0
90,0.0,0.0,0.0,0.8588278309928878,0.1411721690071121,0.0,0.0
91,0.0,0.0,0.0,0.8253990669854729,0.1746009330145271,0.0,0.0
92,0.0,0.0,0.0,0.7919703029780579,0.20802969702194204,0.0,0.0
93,0.0,0.0,0.0,0.758541538970643,0.241458461029357,0.0,0.0
94,0.0,0.0,0.0,0.725112774963228,0.274887225036772,0.0,0.0
95,0.0,0.0,0.0,0.6916840109558131,0.30831598904418694,0.0,0.0
96,0.0,0.0,0.0,0.6582552469483981,0.3417447530516019,0.0,0.0
97,0.0,0.0,0.0,0.6248264829409831,0.37517351705901686,0.0,0.0
98,0.0,0.0,0.0,0.5913977189335682,0.4086022810664318,0.0,0.0
99,0.0,0.0,0.0,0.5579689549261533,0.4420310450738468,0.0,0.0
100,0.0,0.0,0.0,0.5245401909187382,0.4657437319842848,0.009716077096976992,0.0
101,0.0,0.0,0.0,0.49111142691132326,0.47603580241226084,0.032852770676415885,0.0
102,0.0,0.0,0.0,0.45768266290390835,0.4863278728402369,0.05598946425585478,0.0
103,0.0,0.0,0.0,0.42425389889649334,0.496619943268213,0.07912615783529367,0.0
104,0.0,0.0,0.0,0.39082513488907833,0.5069120136961891,0.10226285141473257,0.0
105,0.0,0.0,0.0,0.3573963708816634,0.5172040841241651,0.12539954499417147,0.0
106,0.0,0.0,0.0,0.3239676068742484,0.5274961545521413,0.14853623857361037,0.0
107,0.0,0.0,0.0,0.2905388428668335,0.5377882249801172,0.17167293215304924,0.0
108,0.0,0.0,0.0,0.2571100788594185,0.5480802954080933,0.19480962573248814,0.0
109,0.0,0.0,0.0,0.2236813148520036,0.5583723658360693,0.21794631931192704,0.0
110,0.0,0.0,0.0,0.19025255084458859,0.5686644362640455,0.24108301289136594,0.0
111,0.0,0.0,0.0,0.15682378683717357,0.5789565066920216,0.26421970647080484,0.0
112,0.0,0.0,0.0,0.12339502282975867,0.5892485771199976,0.2873564000502437,0.0
113,0.0,0.0,0.0,0.08996625882234366,0.5995406475479736,0.31049309362968264,0.0
114,0.0,0.0,0.0,0.05653749481492876,0.6098327179759497,0.3336297872091215,0.0
115,0.0,0.0,0.0,0.023108730807513744,0.6201247884039258,0.3567664807885604,0.0
116,0.0,0.0,0.0,0.0,0.6200968256320007,0.37902510281389773,0.0008780715541015665
117,0.0,0.0,0.0,0.0,0.5969601320525618,0.3855179849783134,0.01752188296912478
118,0.0,0.0,0.0,0.0,0.5738234384731229,0.3920108671427291,0.034165694384147995
119,0.0,0.0,0.0,0.0,0.5506867448936841,0.3985037493071448,0.050809505799171206
120,0.0,0.0,0.0,0.0,0.5275500513142451,0.4049966314715604,0.06745331721419442
121,0.0,0.0,0.0,0.0,0.5044133577348062,0.41148951363597613,0.08409712862921763
122,0.0,0.0,0.0,0.0,0.4812766641553673,0.41798239580039187,0.10074094004424085
123,0.0,0.0,0.0,0.0,0.4581399705759285,0.42447527796480744,0.11738475145926407
124,0.0,0.0,0.0,0.0,0.43500327699648955,0.4309681601292232,0.13402856287428727
125,0.0,0.0,0.0,0.0,0.4118665834170506,0.4374610422936389,0.1506723742893105
126,0.0,0.0,0.0,0.0,0.3887298898376118,0.4439539244580545,0.1673161857043337
127,0.0,0.0,0.0,0.0,0.3655931962581729,0.45044680662247016,0.18395999711935693
128,0.0,0.0,0.0,0.0,0.34245650267873395,0.4569396887868859,0.20060380853438015
129,0.0,0.0,0.0,0.0,0.31931980909929514,0.4634325709513015,0.21724761994940334
130,0.0,0.0,0.0,0.0,0.2961831155198562,0.4699254531157172,0.23389143136442656
131,0.0,0.0,0.0,0.0,0.2730464219404173,0.47641833528013294,0.2505352427794498
132,0.0,0.0,0.0,0.0,0.24990972836097836,0.4829112174445487,0.26717905419447296
133,0.0,0.0,0.0,0.0,0.22677303478153954,0.48940409960896425,0.2838228656094962
134,0.0,0.0,0.0,0.0,0.2036363412021006,0.49589698177338,0.3004666770245194
135,0.0,0.0,0.0,0.0,0.18049964762266169,0.5023898639377957,0.31711048843954265
136,0.0,0.0,0.0,0.0,0.15736295404322287,0.5088827461022113,0.33375429985456584
137,0.0,0.0,0.0,0.0,0.13422626046378394,0.5153756282666271,0.35039811126958903
138,0.0,0.0,0.0,0.0,0.11108956688434501,0.5218685104310428,0.3670419226846123
139,0.0,0.0,0.0,0.0,0.0879528733049062,0.5283613925954583,0.38368573409963547
140,0.0,0.0,0.0,0.0,0.06481617972546727,0.534854274759874,0.4003295455146587
141,0.0,0.0,0.0,0.0,0.041679486146028344,0.5413471569242898,0.4169733569296819
142,0.0,0.0,0.0,0.0,0.018542792566589417,0.5478400390887055,0.43361716834470515
143,0.0,0.0,0.0,0.0,0.0,0.5497390202402717,0.45026097975972834
144,0.0,0.0,0.0,0.0,0.0,0.5330952088252485,0.46690479117475153
