Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
81,0.3297221805020938,0.4681186485835514,0.2021591709143548,0.0,0.0,0.0,0.0
82,0.3018526792976115,0.4614992184414362,0.2366481022609523,0.0,0.0,0.0,0.0
83,0.2739831780931292,0.454879788299321,0.27113703360754976,0.0,0.0,0.0,0.0
84,0.24611367688864683,0.44826035815720594,0.30562596495414723,0.0,0.0,0.0,0.0
85,0.21824417568416454,0.4416409280150908,0.34011489630074465,0.0,0.0,0.0,0.0
86,0.19037467447968226,0.4350214978729756,0.3746038276473421,0.0,0.0,0.0,0.0
87,0.16250517327519998,0.4284020677308604,0.4090927589939396,0.0,0.0,0.0,0.0
88,0.13463567207071758,0.42178263758874535,0.44358169034053707,0.0,0.0,0.0,0.0
89,0.1067661708662353,0.41516320744663016,0.46210327304089976,0.0159673486462348,0.0,0.0,0.0
90,0.07889666966175302,0.40854377730451497,0.4625801618675129,0.04997939116621911,0.0,0.0,0.0
91,0.05102716845727062,0.4019243471623999,0.46305705069412606,0.08399143368620343,0.0,0.0,0.0
92,0.02315766725278834,0.3953049170202847,0.46353393952073924,0.11800347620618774,0.0,0.0,0.0
93,0.0,0.38397365292647556,0.4640108283473524,0.15201551872617206,0.0,0.0,0.0
94,0.0,0.3494847215798782,0.4644877171739654,0.18602756124615635,0.0,0.0,0.0
95,0.0,0.3149957902332807,0.4649646060005786,0.22003960376614068,0.0,0.0,0.0
96,0.0,0.28050685888668325,0.46544149482719177,0.254051646286125,0.0,0.0,0.0
97,0.0,0.24601792754008578,0.46591838365380495,0.2880636888061093,0.0,0.0,0.0
98,0.0,0.2115289961934883,0.46639527248041807,0.32207573132609363,0.0,0.0,0.0
99,0.0,0.17704006484689083,0.46687216130703124,0.3560877738460779,0.0,0.0,0.0
100,0.0,0.14255113350029336,0.4673490501336444,0.3900998163660622,0.0,0.0,0.0
101,0.0,0.10806220215369589,0.46782593896025754,0.4241118588860466,0.0,0.0,0.0
102,0.0,0.07357327080709841,0.4683028277868707,0.4581239014060309,0.0,0.0,0.0
103,0.0,0.03908433946050094,0.4687797166134839,0.4921359439260152,0.0,0.0,0.0
104,0.0,0.004595408113903465,0.46925660544009706,0.5261479864459995,0.0,0.0,0.0
105,0.0,0.0,0.4398399710340162,0.5601600289659838,0.0,0.0,0.0
106,0.0,0.0,0.40582792851403193,0.5941720714859681,0.0,0.0,0.0
107,0.0,0.0,0.3718158859940476,0.6281841140059524,0.0,0.0,0.0
108,0.0,0.0,0.3378038434740632,0.6621961565259368,0.0,0.0,0.0
109,0.0,0.0,0.303791800954079,0.696208199045921,0.0,0.0,0.0
110,0.0,0.0,0.26977975843409463,0.7302202415659054,0.0,0.0,0.0
111,0.0,0.0,0.23576771591411028,0.7642322840858897,0.0,0.0,0.0
112,0.0,0.0,0.20175567339412603,0.798244326605874,0.0,0.0,0.0
113,0.0,0.0,0.16774363087414168,0.8322563691258583,0.0,0.0,0.0
114,0.0,0.0,0.13373158835415744,0.8662684116458426,0.0,0.0,0.0
115,0.0,0.0,0.09971954583417308,0.9002804541658269,0.0,0.0,0.0
116,0.0,0.0,0.06570750331418873,0.9342924966858113,0.0,0.0,0.0
117,0.0,0.0,0.03169546079420449,0.9683045392057955,0.0,0.0,0.0
118,0.0,0.0,0.0,1.0,0.0,0.0,0.0
119,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,0.0,0.0,0.0,1.0,0.0,0.0,0.0
121,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122,0.0,0.0,0.0,1.0,0.0,0.0,0.0
123,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.9895924474257392,0.010407552574260846,0.0,0.0
125,0.0,0.0,0.0,0.973936348829685,0.02606365117031498,0.0,0.0
126,0.0,0.0,0.0,0.9582802502336308,0.041719749766369114,0.0,0.0
127,0.0,0.0,0.0,0.9426241516375767,0.05737584836242325,0.0,0.0
128,0.0,0.0,0.0,0.9269680530415226,0.07303194695847738,0.0,0.0
129,0.0,0.0,0.0,0.9113119544454684,0.08868804555453152,0.0,0.0
130,0.0,0.0,0.0,0.8956558558494143,0.10434414415058565,0.0,0.0
131,0.0,0.0,0.0,0.8799997572533602,0.12000024274663978,0.0,0.0
132,0.0,0.0,0.0,0.8643436586573061,0.13565634134269391,0.0,0.0
133,0.0,0.0,0.0,0.848687560061252,0.15131243993874804,0.0,0.0
134,0.0,0.0,0.0,0.8330314614651978,0.1669685385348022,0.0,0.0
135,0.0,0.0,0.0,0.8173753628691437,0.18262463713085633,0.0,0.0
136,0.0,0.0,0.0,0.8017192642730895,0.19828073572691046,0.0,0.0
137,0.0,0.0,0.0,0.7860631656770354,0.2139368343229646,0.0,0.0
138,0.0,0.0,0.0,0.7704070670809813,0.22959293291901872,0.0,0.0
139,0.0,0.0,0.0,0.7547509684849272,0.24524903151507288,0.0,0.0
140,0.0,0.0,0.0,0.7390948698888731,0.260905130111127,0.0,0.0
141,0.0,0.0,0.0,0.7234387712928189,0.27656122870718114,0.0,0.0
142,0.0,0.0,0.0,0.7077826726967646,0.2922173273032353,0.0,0.0
143,0.0,0.0,0.0,0.6921265741007105,0.3078734258992894,0.0,0.0
144,0.0,0.0,0.0,0.6764704755046564,0.32352952449534356,0.0,0.0
145,0.0,0.0,0.0,0.6608143769086023,0.33918562309139766,0.0,0.0
146,0.0,0.0,0.0,0.6451582783125482,0.3548417216874518,0.0,0.0
147,0.0,0.0,0.0,0.6295021797164941,0.3704978202835059,0.0,0.0
